_id,CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION
386,2025-07-22 00:00:00,"427 W ALLERTON AV, MILWAUKEE, WI, 53207-4915","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Caller requesting collection of private brush. Caller is aware of size limit.
387,2025-07-22 00:00:00,"1437 N PROSPECT AV, MILWAUKEE, WI, 53202-30177 N PROSPECT AVE",Missed Collection: Recycling,,MISSED R CART COLLECTION YESTERDAY // ASKING FOR A PICK UP // THE NEIGHBOR'S R CART WAS NOT PICKED UP ALSO
388,2025-07-22 00:00:00,"7406 W GLENDALE AV, MILWAUKEE, WI, 53218-5449","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
389,2025-07-21 00:00:00,"6329 N 100TH ST, MILWAUKEE, WI, 53225-1511",Other Miscellaneous Forestry Request,2025-07-21 00:00:00,"PLEASE READ FULL DESCRIPTION

IT IS NOT ABOUT THE ADDRESS ABOVE. The corner does NOT have an address your system can accept. 

1.) At the corner of 100th street and Bender Road (2 houses down from address above) branches need to be removed, they are blocking water from exiting the street and the drains are clogged and under these piles of branches. Please remove the 90 degree corner blocking the drain and also the pile you see in the photo
2.) 30 feet from this corner you will see a huge pile of branches - the pile is the size of a large truck.
3.) There are 8-10 property owners on 101St Street between Bender and Mill road with branches that came down due to the storm and is still at the curb. (This is the very next street over from the address above)
4.) Once completed, please come back through with street sweeper on 100th and 101st

FYI This is the 4th request from other neighbors."
390,2025-07-21 00:00:00,"9617 W SARASOTA PL, MILWAUKEE, WI, 53222-1452","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
391,2025-07-21 00:00:00,"3340 W RUSKIN ST, MILWAUKEE, WI, 53215-4224",Potholes,,Street should.be repaved. Too many potholes that return month after month
392,2025-07-21 00:00:00,"10921 W KAUL AV, MILWAUKEE, WI, 53225-1315","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
393,2025-07-21 00:00:00,212 N 77TH ST,Bulky Pickup & San Inspector Notification,,Couch/sofa about 85” by 24”
394,2025-07-21 00:00:00,"3443 N 97TH ST, MILWAUKEE, WI, 53222-3449","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,brush collection needed
395,2025-07-21 00:00:00,"4530 W MANITOBA ST, MILWAUKEE, WI, 53219-3422",Scattered Litter and Debris on Private Property,,YARDWASTE IN GARBAGE BAGS AND NEEDS TO BE REMOVED.
396,2025-07-21 00:00:00,"5011 N 110TH ST, MILWAUKEE, WI, 53225-3811",Broken Branch Down - Not Blocking,2025-07-21 00:00:00,CITY TREE BRANCH DOWN // NOT BLOCKING // 4 HOUSES NORTH OF LOCATION
397,2025-07-21 00:00:00,"3537 N 95TH ST, MILWAUKEE, WI, 53222-2615",Garbage Cart: Damaged,,"Lid has huge lid, animal/rain issue.  It's over 16years old."
398,2025-07-21 00:00:00,"2254 S 35TH ST, MILWAUKEE, WI, 53215-2307",Scattered Litter and Debris on Private Property,2025-07-21 00:00:00,SEVERAL BAGS OF TRASH IN YARD AND NEEDS TO BE REMOVED.
399,2025-07-21 00:00:00,"3825 N 50TH ST, MILWAUKEE, WI, 53216-2301",Scattered Litter and Debris on Private Property,,Food hoarded on the porches.
400,2025-07-21 00:00:00,"3134 N 11TH ST, MILWAUKEE, WI, 53206-2747",Recycling Cart: Missing,,2 units
401,2025-07-21 00:00:00,"1245 N MILWAUKEE ST, MILWAUKEE, WI, 53202-0000",Missed Collection: Garbage,,"On Knapp St side, triplex 1245-47, with 2 g-carts out last night, both missed today."
402,2025-07-21 00:00:00,"3825 N 50TH ST, MILWAUKEE, WI, 53216-2301",Rats or Rat Harborage,,"Rats on property, eating hoarded food."
403,2025-07-21 00:00:00,"3825 N 50TH ST, MILWAUKEE, WI, 53216-2301",Branches or Bushes Encroaching Alley,,Overgrowth
404,2025-07-21 00:00:00,"4144 S 1ST ST, MILWAUKEE, WI, 53207-4306","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Aware of size
405,2025-07-21 00:00:00,"1929 E FERNWOOD AV, MILWAUKEE, WI, 53207-3174","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"Not sure if first request went through, brush at corner of Fernwood Ave at Dayfield"
406,2025-07-21 00:00:00,"934 W BURLEIGH ST, MILWAUKEE, WI, 53206-0000","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Brush was never picked up in alley. 2nd request
407,2025-07-21 00:00:00,"204 W VAN NORMAN AV, MILWAUKEE, WI, 53207-5836",Street Light Out,2025-07-22 00:00:00,
408,2025-07-21 00:00:00,8932 W DAPHNE ST,Dead Animal,,"There is a dead fawn in the middle of 91st street.
North of Bradley south of Brown Deer.
Mother Deer requires some grief counseling."
409,2025-07-21 00:00:00,"7369 N 95TH ST, MILWAUKEE, WI, 53224-3954","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
410,2025-07-21 00:00:00,8938 W CALUMET RD,Dead Animal,,"Dead Fawn in middle of 91st.  North of Bradley, south of Brown Deer.

*** duplicate post, first one had wrong Pin placement."
411,2025-07-21 00:00:00,"5260 N 66TH ST, MILWAUKEE, WI, 53218-3012","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Could you please pick up some brush for me? It is in front of my home.
412,2025-07-21 00:00:00,"1815 N 2ND ST, MILWAUKEE, WI, 53212-3706","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"brush pickup, please"
413,2025-07-21 00:00:00,"2958 S KINNICKINNIC AV, MILWAUKEE, WI, 53207-2563",Other Miscellaneous Electrical Services Request,2025-07-21 00:00:00,handhole cover missing on 2962 lantern
414,2025-07-21 00:00:00,"710 W GRANGE AV, MILWAUKEE, WI, 53221-4424",INFO ONLY: Miscellaneous Information Request,2025-07-21 00:00:00,status on request
415,2025-07-21 00:00:00,"4232 N 18TH ST, MILWAUKEE, WI, 53209-6826","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
416,2025-07-21 00:00:00,"2837 N 9TH ST, MILWAUKEE, WI, 53206-3215",Missed Collection: Recycling,,Routeware states collected. caller states RCart has not been collected
417,2025-07-21 00:00:00,"3273 N 44TH ST, MILWAUKEE, WI, 53216-3541",Scattered Litter and Debris on Private Property,2025-07-21 00:00:00,debris
418,2025-07-21 00:00:00,"4901 N 21ST ST, MILWAUKEE, WI, 53209-5749",Bulky Pickup & San Inspector Notification,,"Property owner aware of fees, tenant move out.  Bags, chair, misc household debris."
419,2025-07-21 00:00:00,"2539 N 61ST ST, MILWAUKEE, WI, 53213-1559","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-22 00:00:00,2cu
420,2025-07-21 00:00:00,"4876 N 56TH ST, MILWAUKEE, WI, 53218-4234","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,THE CALLER IS AWARE THE LIMIT IS 2 CY
421,2025-07-21 00:00:00,"2840 N 79TH ST, MILWAUKEE, WI, 53222-4902","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"Alley behind 2840 N 79th St. I have probably a full 2 cubic yards of mostly pretty soft, leafy weeds right at the edge of the property on the alley."
422,2025-07-21 00:00:00,"521 N STORY PK, MILWAUKEE, WI, 53208-3668","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-22 00:00:00,Our older neighbor at 513 N. Story Pkwy moved to assisted living and is no longer in her house & are helping to declutter her yard. We have more than one pick up pile of brush in our cul-du-sac area in front of 521 N. Story Pkwy.  We will be breaking it down to 2 piles if you can do one pick up one day and then another another day... (one for her and one for us)
423,2025-07-20 00:00:00,"3436 S 95TH ST, MILWAUKEE, WI, 53227-4329",Other Miscellaneous Forestry Request,,"Hello, there is no immediate need on this. This branch grows straight down over the driveway and it hits the truck, especially when it is full of snow. Just thought I’d request a cut before it becomes a problem. Thank you. Much appreciated."
424,2025-07-20 00:00:00,"3450 N 91ST ST, MILWAUKEE, WI, 53222-3644","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Pile of yard waste left in street by residents of 3450 N 91st St
425,2025-07-20 00:00:00,"3434 N 91ST ST, MILWAUKEE, WI, 53222-3644",Broken Branch Down - Not Blocking,2025-07-21 00:00:00,"Large branch broken up by property owner, is on curb"
426,2025-07-20 00:00:00,"3451 N 91ST ST, MILWAUKEE, WI, 53222-3643",Broken Branch Down - Not Blocking,2025-07-21 00:00:00,Larger branch in road
427,2025-07-20 00:00:00,2123 N 55TH ST,Recycling Cart: Missing,,We were missing the cart after the last recycling pick up
428,2025-07-20 00:00:00,2744 S 46TH ST,"Brush Pickup Request, Less than 2 Cubic Yards, April-November",,N/a
429,2025-07-20 00:00:00,"6097 N 39TH ST, MILWAUKEE, WI, 53209-3507","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,brush pick up
430,2025-07-20 00:00:00,"5331 N 48TH ST, MILWAUKEE, WI, 53218-3432","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
431,2025-07-20 00:00:00,"2016 E RUSK AV, MILWAUKEE, WI, 53207-2527",Pothole in Alley,,There is a pothole immediately going into the alley heading south
432,2025-07-20 00:00:00,"324 E WISCONSIN AV, MILWAUKEE, WI, 53202-0000",Miscellaneous Street Maintenance Request,,MPD# 1421 PO Michalak request barricades at N Milwaukee St & E. Wisconsin Ave. Operator notified Street Emergency for response.
433,2025-07-20 00:00:00,7908 W KATHRYN AV,Street Light Out,2025-07-20 00:00:00,Street lights out
434,2025-07-20 00:00:00,"4868 S 23RD ST, MILWAUKEE, WI, 53221-2922",Garbage Cart: Damaged,,My garbage can missing wheel
435,2025-07-20 00:00:00,"4401 W FOND DU LAC AV, MILWAUKEE, WI, 53216-3444",Special Pickup - Accident Debris,,ACCIDENT DEBRIS IN MEDIAN
436,2025-07-20 00:00:00,2423 N 50TH ST,Potholes,,2 deep potholes in eastbound lanes. One on either side of the 51st/Lisbon intersection.
437,2025-07-20 00:00:00,"301 E VINE ST, MILWAUKEE, WI, 53212-0000",Street Light Out,,
438,2025-07-20 00:00:00,2351 N 48TH ST,Pothole in Alley,,"Pothole near sewer grate in the alley. It’s between Judy’s Red Hots and 2351 N 48th St, near the alley entrance on 48th St"
439,2025-07-20 00:00:00,"1751 N HUBBARD ST, MILWAUKEE, WI, 53212-3964",Street Light Out,,
440,2025-07-20 00:00:00,"4062 W VERA AV, MILWAUKEE, WI, 53209-2241",Garbage Cart Not Returned to Storage Location,,Thanks
441,2025-07-20 00:00:00,"2644 S LINEBARGER TR, MILWAUKEE, WI, 53207-2340","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
442,2025-07-20 00:00:00,7908 W KATHRYN AV,Street Light Out,2025-07-20 00:00:00,The street lights are on.  Sorry  Cancel ticket 17134763
443,2025-07-20 00:00:00,"922 W EDEN PL, MILWAUKEE, WI, 53221-1733",Damaged City Tree,,Tree is way to big and near our house and it's interfering
444,2025-07-20 00:00:00,"4160 N 47TH ST, MILWAUKEE, WI, 53216-1529",Bulky Pickup & San Inspector Notification,,Metal frame and lower bed mattress.
445,2025-07-20 00:00:00,"1618 W KEEFE AV, MILWAUKEE, WI, 53206-2359",Dead Animal,,Dead dog left on road near N Teutonia Ave & W Keefe St.
446,2025-07-20 00:00:00,"3128 A S 9TH PL, MILWAUKEE, WI, 53215-4727",Potholes,,Huge pothole by liquor store alley
447,2025-07-20 00:00:00,2470 S 15TH ST,Alley Light Out,2025-07-21 00:00:00,"Alley behind house of 2470 S 15th St, bulb out very dark please send to fix as due to safety concern as it makes it difficult to see clearly"
448,2025-07-20 00:00:00,"5700 N 34TH ST, MILWAUKEE, WI, 53209-4043",Windows Broken or Missing,,Upstairs window broken for a while now
449,2025-07-20 00:00:00,"2206 N 57TH ST, MILWAUKEE, WI, 53208-1032",Dogs At Large,2025-07-21 00:00:00,Loose dog barking for the last hour plus in front of 2206 N 57th.
450,2025-07-20 00:00:00,"2111 S 35TH ST, MILWAUKEE, WI, 53215-2304",Pothole in Alley,,From my address north we have good sized potholes that are deep. I have to drive around them to get to my garage. Then try to park with the potholes by my house. I am hoping you can repair them soon
451,2025-07-20 00:00:00,3200 W CANAL ST,Miscellaneous Sewers Request,,Manhole cover has sunken several inches
452,2025-07-20 00:00:00,"3280 S KINNICKINNIC AV, MILWAUKEE, WI, 53207-3157",Potholes,,On Falling Heath just off of K.K.
453,2025-07-20 00:00:00,"121 E BUFFALO ST, MILWAUKEE, WI, 53202-0000",Miscellaneous Street Maintenance Request,,drain cover needs to be reset
454,2025-07-20 00:00:00,"3376 S 7TH ST, MILWAUKEE, WI, 53215-5104",Potholes,,Huge pothole end of street before beginning of alley
455,2025-07-20 00:00:00,"2212 N 58TH ST, MILWAUKEE, WI, 53208-1036",Drainage or Standing Water Not Related to a Clogged Catch Basin,,There seems to consistently be water in the alley even when it hasn’t been raining. I’m wondering if there is a water or sewer line leak? It’s right behind my house 2212 N 58th
456,2025-07-19 00:00:00,"1990 N COMMERCE ST, MILWAUKEE, WI, 53212-0000",Bump in City Street or Alley,,"Heading SW from Humboldt on Commerce, around where street intersects Fratney, raised concrete notably felt when driving over. Takes up entire lane for that direction of traffic. Note, reporting application would not let me pinpoint exact location, as attempts to do so on the map kept giving wildly incorrect locations improperly associated - this was as close as I could get to area effected on Commerce with this app. If you just drive SW in that area, you WILL notice/see/feel the raised area of concrete."
457,2025-07-19 00:00:00,"1685 A N MARSHALL ST, MILWAUKEE, WI, 53202-2051","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
458,2025-07-19 00:00:00,"5925 N 68TH ST, MILWAUKEE, WI, 53218-1802",Street Light Out,,Street lights out feel for my safety
459,2025-07-19 00:00:00,"2158 N 42ND ST, MILWAUKEE, WI, 53208-1305",Fire Damage,,"Duplex is vacant and tons of people hang on the porch of this home. No one lives there.  It looks like a fire VERY recently occurred on this property. There is always litter + bottles on this vacant property, too."
460,2025-07-19 00:00:00,"6481 N 52ND ST, MILWAUKEE, WI, 53223-6011",Bulky Pickup & San Inspector Notification,,Just a box spring
461,2025-07-19 00:00:00,"1585 N WARREN AV, MILWAUKEE, WI, 53202-2213",Potholes,,Gaping pothole
462,2025-07-19 00:00:00,"3024 N 27TH ST, MILWAUKEE, WI, 53210-0000",Nuisance Vehicle on Private Property,2025-07-21 00:00:00,Blue camper trailer parked on a city owned lot.  No one was at the camper when officers were dispatched there.
463,2025-07-19 00:00:00,"3052 N 27TH ST, MILWAUKEE, WI, 53210-0000",Light Nuisance,,A large pool has been set up on the city owned lot
464,2025-07-19 00:00:00,"2846 N 23RD ST, MILWAUKEE, WI, 53206-0000",Light Nuisance,2025-07-21 00:00:00,"Tents set up on city owned property, vacant lot.  In past the people at 2838 N. 23rd St. are responsible for the tents being set up.  Last year they had tents, a bar, shower and bathroom on the lot."
465,2025-07-19 00:00:00,"4124 N 72ND ST, MILWAUKEE, WI, 53216-1036","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Brush pickup from small tree removal.
466,2025-07-19 00:00:00,"2355 N 56TH ST, MILWAUKEE, WI, 53210-2229",Branches or Bushes Encroaching Alley,,Backyard alley
467,2025-07-19 00:00:00,"7308 W VAN BECK AV, MILWAUKEE, WI, 53220-2357","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
468,2025-07-19 00:00:00,"3016 N SUMMIT AV, MILWAUKEE, WI, 53211-3463","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
469,2025-07-19 00:00:00,"2720 E PARK PL, MILWAUKEE, WI, 53211-0000",Other Miscellaneous Electrical Services Request,2025-07-20 00:00:00,Part of the conduit cover fell down on the south side of park street east of the intersection with hackett
470,2025-07-19 00:00:00,"7524 N 89TH ST, MILWAUKEE, WI, 53224-4004",Clogged Catch Basin/Surface Flooding,,The catch basin is clogged and is causing water to pool in the street.
471,2025-07-19 00:00:00,"2528 N DOUSMAN ST, MILWAUKEE, WI, 53212-3017","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Against the fence
472,2025-07-19 00:00:00,"5218 N 36TH ST, MILWAUKEE, WI, 53209-4706",Trim City Tree,,Its hovering over my gutters and cause it to clog up and I’m trying to get it cleaned but was told to have the city trim the tree first
473,2025-07-19 00:00:00,"9526 W ROCHELLE AV, MILWAUKEE, WI, 53224-4646","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
474,2025-07-19 00:00:00,"7623 W CENTER ST, MILWAUKEE, WI, 53222-5026","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
475,2025-07-19 00:00:00,"2863 N 81ST ST, MILWAUKEE, WI, 53222-4852","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Pile of tree branches on curb
476,2025-07-19 00:00:00,"5446 W STACK DR, MILWAUKEE, WI, 53219-3369",Sidewalk Repair,2025-07-21 00:00:00,Need this portion of sidewalk repaired.  Numerous people have tripped over it.
477,2025-07-19 00:00:00,"300 S 1ST ST, MILWAUKEE, WI, 53204-0000",Potholes,,the potholes are under the railroad overpass
478,2025-07-19 00:00:00,"100 W BOLIVAR AV, Milwaukee, WISCONSIN, 53207",Traffic Signals,2025-07-21 00:00:00,The light on the west side of S Howell ave stays red too long. Often people turn right onto Howell to do a U turn because the light doesn’t turn green. I have lived here for 5 years and this light has always been a hinderance.  Called On-Call. 5347113
479,2025-07-19 00:00:00,"2898 S MABBETT AV, MILWAUKEE, WI, 53207-2523",Potholes,,
480,2025-07-19 00:00:00,"2239 N HUMBOLDT AV, MILWAUKEE, WI, 53212-3507",Potholes,,Southbound on Humboldt from North Ave. Wide pot hole that requires vehicles to swerve to avoid tire sinking into hole.
481,2025-07-19 00:00:00,"2115 N 51ST ST, MILWAUKEE, WI, 53208-1134",Pothole in Alley,,"A water line repair was done in the winter and a temporary patch was applied, it has sunk considerably since then. Please repair. Thanks."
482,2025-07-19 00:00:00,"2642 N 2ND ST, MILWAUKEE, WI, 53212-2813",Dead Animal,,dog in alley
483,2025-07-19 00:00:00,"7931 W TESCH AV, MILWAUKEE, WI, 53220-2217","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
484,2025-07-19 00:00:00,"3111 W VINE ST, MILWAUKEE, WI, 53208-1912",Broken Branch Down - On Private Building or Residence,,tree on house
485,2025-07-19 00:00:00,"929 E HOLT AV, MILWAUKEE, WI, 53207-3413",Weeds and Tall Grass Complaint,,
486,2025-07-19 00:00:00,"2566 N 49TH ST, MILWAUKEE, WI, 53210-2847","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
487,2025-07-19 00:00:00,"3867 N PALMER ST, MILWAUKEE, WI, 53212-1245",Potholes,,Big enough for car tire several inches deep. On odd # side of street just nirth of the street to the south
488,2025-07-19 00:00:00,"4823 S 6TH ST, MILWAUKEE, WI, 53221-2441","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Second request. Brush is near fire hydrant. Thank you.
489,2025-07-19 00:00:00,"3344 S 7TH ST, MILWAUKEE, WI, 53215-5104","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
490,2025-07-19 00:00:00,"808 E WRIGHT ST, MILWAUKEE, WI, 53212-3038",Weeds and Tall Grass Complaint,,
491,2025-07-19 00:00:00,"5575 S 23RD ST, MILWAUKEE, WI, 53221-4270",Broken Branch Down - Not Blocking,,Fallen branch in front of house.
492,2025-07-19 00:00:00,"2970 S 44TH ST, MILWAUKEE, WI, 53219-3406",Plant City Tree,,A tree was recently removed from the city property in front of our house at 2970 S. 44th St. 53219 in Milwaukee due to it being in the final stages of dying. The stump is set for removal soon. Can I request  or have a say in what type of tree to be  planted when the city is ready to re plant a new one?
493,2025-07-19 00:00:00,"3781 N 60TH ST, MILWAUKEE, WI, 53216-0000",Bulky Pickup & San Inspector Notification,,OVERSIZED CHAIR; BROKEN DOWN BEDFRAME
494,2025-07-19 00:00:00,"612 E LINCOLN AV, MILWAUKEE, WI, 53207-1706","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
495,2025-07-19 00:00:00,"1100 W GARFIELD AV, MILWAUKEE, WI, 53205-0000",Small Items Discarded on Private Property,,"Parking lot is used as a dump.

Abandoned vehicle that was a part of a crash. Fallen tree limbs. Overflow of trash, mattress, and Vats - all attracting animals

I have spoken to the owner in the past to no avail. There lack of concern should be cited."
496,2025-07-19 00:00:00,1300 A W FOND DU LAC AV,Potholes,,Fond du lac heading southeast coming up on the light at Walnut  has a really rough patch with multiple potholes and bumps.
497,2025-07-19 00:00:00,"1802 N HI MOUNT BL, MILWAUKEE, WI, 53208-1721","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
498,2025-07-19 00:00:00,"3443 S 61ST ST, MILWAUKEE, WI, 53219-4348","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Brush pick up less than 2 cubic yards
499,2025-07-19 00:00:00,"3617 S 14TH ST, MILWAUKEE, WI, 53221-1641",Dead Animal,,possum
500,2025-07-19 00:00:00,907 N 10TH ST,Potholes,,Pretty deep holes.  Just south of the CJF sallyport entrance.
501,2025-07-19 00:00:00,"228 N 79TH ST, MILWAUKEE, WI, 53213-3430","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
502,2025-07-19 00:00:00,"3948 S 6TH ST, MILWAUKEE, WI, 53207-0000",Potholes,,Pothole right in front of Howard water purification plant.
503,2025-07-19 00:00:00,"5627 W CENTER ST, MILWAUKEE, WI, 53210-2252",Missed Collection: Garbage,,
504,2025-07-19 00:00:00,"3159 N 10TH ST, MILWAUKEE, WI, 53206-3253",Street Light Out,2025-07-20 00:00:00,Light is broken
505,2025-07-18 00:00:00,"3528 N 92ND ST, MILWAUKEE, WI, 53222-2602",Zoning Violation,,this camera is still looking into my bedroom. i have a right to privacy in my own bedroom. I've complained before about this. do I not have that right.
506,2025-07-18 00:00:00,"8100 W GLEN AV, MILWAUKEE, WI, 53218-0000","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,This continues to be marked completed but it has never been picked up it is still there. Can you send someone out to pick it up instead of just marking it completed
507,2025-07-18 00:00:00,"1527 W CLAYTON CREST AV, MILWAUKEE, WI, 53221-3828","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
508,2025-07-18 00:00:00,"9150 W BELOIT RD, MILWAUKEE, WI, 53227-4422",Graffiti,,Rear of building by alley
509,2025-07-18 00:00:00,"5433 N GREEN BAY AV, MILWAUKEE, WI, 53209-5006","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
510,2025-07-18 00:00:00,"5230 N 29TH ST, MILWAUKEE, WI, 53209-4813",Bulky Pickup & San Inspector Notification,,"someone dumped box filled with items, car bumper on the curb lawn in the parking lane"
511,2025-07-18 00:00:00,"2059 S 15TH ST, MILWAUKEE, WI, 53204-3709",Scattered Litter and Debris on Private Property,,"BRICKS, GARBAGE BAGS AND SCATTERED TRASH AND CONSTRUCTION BAGS"
512,2025-07-17 00:00:00,"3401 S BURRELL ST, MILWAUKEE, WI, 53207-3345",Broken Branch Hanging - Other,2025-07-17 00:00:00,Branch from city tree in road.
513,2025-07-17 00:00:00,2429 W MAPLE ST,Garbage Cart: Damaged,,Broken lid and has hole so the animals keep coming in and out and ripping up the garbage
514,2025-07-17 00:00:00,"3825 N 36TH ST, MILWAUKEE, WI, 53216-3005",Dogs At Large,2025-07-17 00:00:00,"Dog is allowed out without a leash. Open back yard, gate is not secure the dog gets out to roam the neighborhood and poop on neighbors lawn"
515,2025-07-17 00:00:00,"7126 W EDEN PL, MILWAUKEE, WI, 53220-1104","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
516,2025-07-17 00:00:00,"3900 S 56TH ST, MILWAUKEE, WI, 53220-2633",Street Light Out,2025-07-17 00:00:00,All corner lights and 1 block east and west on Howard Ave are out.
517,2025-07-17 00:00:00,"929 S 31ST ST, MILWAUKEE, WI, 53215-1540",Scattered Litter and Debris on Private Property,,MATTRESES ON PROPERTY
518,2025-07-17 00:00:00,"3825 N 36TH ST, MILWAUKEE, WI, 53216-3005",Rats or Rat Harborage,2025-07-18 00:00:00,Saw large rats on property running from open shed. Seen large rat going under front porch. Weeds are surrounding the property
519,2025-07-17 00:00:00,"925 S 31ST ST, MILWAUKEE, WI, 53215-1540",Scattered Litter and Debris on Private Property,2025-07-17 00:00:00,9 BAGS ON PROPERTY WITH YARD-WASTE AND NEEDS TO BE REMOVED.
520,2025-07-17 00:00:00,"934 S 31ST ST, MILWAUKEE, WI, 53215-1541",Scattered Litter and Debris on Private Property,2025-07-17 00:00:00,SCATTERED TRASH AND CLOTHES BEHIND PROPERTY AND NEEDS TO BE REMOVED.
521,2025-07-17 00:00:00,"3900 S 56TH ST, MILWAUKEE, WI, 53220-2633",Street Light Out,2025-07-17 00:00:00,All four corners in one block east and west on W. Howard Ave. are out.
522,2025-07-17 00:00:00,"928 S 31ST ST, MILWAUKEE, WI, 53215-1541",Scattered Litter and Debris on Private Property,2025-07-17 00:00:00,SCATTERED TRASH BEHIND PROPERTY AND NEEDS TO BE REMOVED.
523,2025-07-17 00:00:00,"2762 S WENTWORTH AV, MILWAUKEE, WI, 53207-2354","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,A small pile of brush at the curb in front of the house.
524,2025-07-17 00:00:00,"1650 S LAYTON BL, MILWAUKEE, WI, 53215-1949",Missed Collection: Recycling,2025-07-17 00:00:00,
525,2025-07-17 00:00:00,"2469 N FRATNEY ST, MILWAUKEE, WI, 53212-2932",Branches or Bushes Encroaching Sidewalk,,Branches from tree in front yard blocking sidewalk
526,2025-07-17 00:00:00,"445 W OKLAHOMA AV, MILWAUKEE, WI, 53207-0000",Broken Branch Down - Blocking Street,2025-07-17 00:00:00,NB SIde. On The Bike lane. By Canadian Pacific RR. 8ft long. Called 2S
527,2025-07-17 00:00:00,"530 W OKLAHOMA AV, MILWAUKEE, WI, 53207-2602",Construction Concerns,,WB Median split in 1/2. Concrete has separated probably from a semi driver hitting it. per caller
528,2025-07-17 00:00:00,"3824 N 51ST BL, MILWAUKEE, WI, 53216-2304","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"Brush, size limit informed."
529,2025-07-17 00:00:00,"8101 W NORWICH ST, MILWAUKEE, WI, 53220-2212","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
530,2025-07-17 00:00:00,"9310 W ST PAUL AV, MILWAUKEE, WI, 53226-4421",Miscellaneous Street Maintenance Request,,"Resident stated that there was a water main break in the are. Water dept. patched the area, but now there's a settlement. Caller stated Water advise resident to place a street maint. request."
531,2025-07-16 00:00:00,"6964 N 102ND ST, MILWAUKEE, WI, 53224-4404","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,aware of size limits
532,2025-07-16 00:00:00,"8801 W MONROVIA AV, MILWAUKEE, WI, 53225-1815",Collection Schedule - Garbage and Recycling,2025-07-16 00:00:00,
533,2025-07-16 00:00:00,"1209 A S 17TH ST, MILWAUKEE, WI, 53204-2015",Exterior of Building in Disrepair,2025-07-16 00:00:00,EXTERIOR
534,2025-07-16 00:00:00,"6964 N 102ND ST, MILWAUKEE, WI, 53224-4404",Collection Schedule - Garbage and Recycling,2025-07-16 00:00:00,
535,2025-07-16 00:00:00,"8801 W MONROVIA AV, MILWAUKEE, WI, 53225-1815",INFO ONLY: Recycling Collection Day Information Request,2025-07-16 00:00:00,
536,2025-07-16 00:00:00,"1214 S 17TH ST, MILWAUKEE, WI, 53204-2014",Exterior of Building in Disrepair,2025-07-17 00:00:00,exterior
537,2025-07-16 00:00:00,"8801 W MONROVIA AV, MILWAUKEE, WI, 53225-1815",INFO ONLY: Garbage Collection Day Information Request,2025-07-16 00:00:00,
538,2025-07-16 00:00:00,"1219 S 17TH ST, MILWAUKEE, WI, 53204-2015",Exterior of Building in Disrepair,2025-07-17 00:00:00,exterior
539,2025-07-16 00:00:00,"1440 S 10TH ST, MILWAUKEE, WI, 53204-2854",Pothole in Alley,,"Second request, the whole alley has potholes"
